Team,Player #,Pos,Player,Player abbrev,GP,G,A,EV G,EV A,SOG,G/GP,A/GP,EV G/GP,EV A/GP,SOG/GP,EV +,EV -,EV GF %
Albany Devils,11,C,Kelly Zajac,K. Zajac,5,0,2,0,0,2,0.00,0.40,0.00,0.00,0.40,0,1,0.00
Adirondack Flames,15,LW,Ken Agostino,K. Agostino,30,4,8,3,7,58,0.13,0.27,0.10,0.23,1.93,14,12,0.54
Lake Erie Monsters,17,RW,Kenny Ryan,K. Ryan,32,6,7,4,7,47,0.19,0.22,0.13,0.22,1.47,19,17,0.53
Utica Comets,29,D,Kent Huskins,K. Huskins,10,0,0,0,0,5,0.00,0.00,0.00,0.00,0.50,0,4,0.00
Springfield Falcons,15,LW,Kerby Rychel,K. Rychel,31,7,11,3,7,89,0.23,0.35,0.10,0.23,2.87,15,13,0.54
Bridgeport Sound Tigers,24,D,Kevin Czuczman,K. Czuczman,31,1,4,1,2,53,0.03,0.13,0.03,0.06,1.71,16,13,0.55
Norfolk Admirals,5,D,Kevin Gagne,K. Gagne,29,0,3,0,3,40,0.00,0.10,0.00,0.10,1.38,8,19,0.30
Lehigh Valley Phantoms,17,F,Kevin Goumas,K. Goumas,29,1,2,1,2,33,0.03,0.07,0.03,0.07,1.14,4,9,0.31
Manchester Monarchs,4,D,Kevin Gravel,K. Gravel,25,4,5,2,3,23,0.16,0.20,0.08,0.12,0.92,16,5,0.76
Texas Stars,8,LW,Kevin Henderson,K. Henderson,25,0,4,0,4,28,0.00,0.16,0.00,0.16,1.12,6,9,0.40
Syracuse Crunch,12,C,Kevin Lynch,K. Lynch,15,1,0,1,0,9,0.07,0.00,0.07,0.00,0.60,3,4,0.43
Toronto Marlies,26,D,Kevin Marshall,K. Marshall,19,0,0,0,0,17,0.00,0.00,0.00,0.00,0.89,8,12,0.40
Grand Rapids Griffins,12,LW,Kevin Porter,K. Porter,33,5,11,4,8,63,0.15,0.33,0.12,0.24,1.91,16,16,0.50
Bridgeport Sound Tigers,60,G,Kevin Poulin,K. Poulin,22,0,1,0,0,0,0.00,0.05,0.00,0.00,0.00,0,0,-
Manchester Monarchs,33,D,Kevin Raine,K. Raine,26,1,1,1,1,20,0.04,0.04,0.04,0.04,0.77,12,7,0.63
Rochester Americans,92,C,Kevin Sundher,K. Sundher,15,0,1,0,1,13,0.00,0.07,0.00,0.07,0.87,3,6,0.33
Rockford IceHogs,10,D,Klas Dahlbeck,K. Dahlbeck,30,3,4,2,4,51,0.10,0.13,0.07,0.13,1.70,15,13,0.54
Worcester Sharks,10,D,Konrad Abeltshauser,K. Abeltshauser,32,2,10,0,7,52,0.06,0.31,0.00,0.22,1.63,21,15,0.58
Toronto Marlies,5,D,Korbinian Holzer,K. Holzer,9,0,2,0,1,16,0.00,0.22,0.00,0.11,1.78,3,5,0.38
St. John's IceCaps,7,D,Kris Fredheim,K. Fredheim,30,2,5,1,2,36,0.07,0.17,0.03,0.07,1.20,13,18,0.42
Hershey Bears,11,C,Kris Newbury,K. Newbury,28,11,14,9,7,72,0.39,0.50,0.32,0.25,2.57,15,13,0.54
Syracuse Crunch,50,G,Kristers Gudlevskis,K. Gudlevskis,18,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Iowa Wild,39,F,Kurtis Gabriel,K. Gabriel,26,2,1,1,1,22,0.08,0.04,0.04,0.04,0.85,3,15,0.17
Grand Rapids Griffins,20,F,Kyle Bonis,K. Bonis,2,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Rockford IceHogs,15,D,Kyle Cumiskey,K. Cumiskey,30,1,10,0,7,35,0.03,0.33,0.00,0.23,1.17,17,15,0.53
Charlotte Checkers,18,LW,Kyle Hagel,K. Hagel,34,0,2,0,2,23,0.00,0.06,0.00,0.06,0.68,7,14,0.33
Charlotte Checkers,33,LW,Kyle Jean,K. Jean,8,0,2,0,2,8,0.00,0.25,0.00,0.25,1.00,4,4,0.50
St. John's IceCaps,19,C,Kyle MacKinnon,K. MacKinnon,26,2,7,2,7,36,0.08,0.27,0.08,0.27,1.38,12,9,0.57
Norfolk Admirals,23,RW,Kyle Palmieri,K. Palmieri,2,0,0,0,0,12,0.00,0.00,0.00,0.00,6.00,0,1,0.00
Grand Rapids Griffins,29,RW,Landon Ferraro,L. Ferraro,33,13,4,9,3,109,0.39,0.12,0.27,0.09,3.30,17,17,0.50
Oklahoma City Barons,31,G,Laurent Brossoit,L. Brossoit,19,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Hershey Bears,20,C,Liam O'Brien,L. O'Brien,10,0,0,0,0,10,0.00,0.00,0.00,0.00,1.00,1,1,0.50
San Antonio Rampage,22,RW,Logan Shaw,L. Shaw,35,9,5,5,5,61,0.26,0.14,0.14,0.14,1.74,14,12,0.54
Portland Pirates,37,G,Louis Domingue,L. Domingue,7,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Norfolk Admirals,20,RW,Louis Leblanc,L. Leblanc,34,11,5,6,3,86,0.32,0.15,0.18,0.09,2.53,12,19,0.39
Grand Rapids Griffins,22,C,Louis-Marc Aubry,L. Aubry,27,3,3,3,3,27,0.11,0.11,0.11,0.11,1.00,7,4,0.64
Portland Pirates,38,LW,Lucas Lessio,L. Lessio,26,9,7,5,5,80,0.35,0.27,0.19,0.19,3.08,12,12,0.50
Texas Stars,35,F,Ludwig Karlsson,L. Karlsson,2,0,0,0,0,2,0.00,0.00,0.00,0.00,1.00,0,0,-
Springfield Falcons,22,C,Lukas Sedlak,L. Sedlak,35,5,9,3,8,53,0.14,0.26,0.09,0.23,1.51,16,13,0.55
Springfield Falcons,19,LW,Luke Adam,L. Adam,35,12,16,9,8,86,0.34,0.46,0.26,0.23,2.46,20,26,0.43
Oklahoma City Barons,20,LW,Luke Gazdic,L. Gazdic,5,2,0,2,0,6,0.40,0.00,0.40,0.00,1.20,1,2,0.33
Syracuse Crunch,82,D,Luke Witkowski,L. Witkowski,34,1,3,1,2,32,0.03,0.09,0.03,0.06,0.94,14,17,0.45
Hamilton Bulldogs,9,D,Mac Bennett,M. Bennett,28,4,4,2,3,28,0.14,0.14,0.07,0.11,1.00,15,15,0.50
Rockford IceHogs,35,G,Mac Carruth,M. Carruth,2,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Hartford Wolf Pack,70,G,Mackenzie Skapski,M. Skapski,19,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
San Antonio Rampage,2,D,Mackenzie Weegar,M. Weegar,19,1,4,1,2,27,0.05,0.21,0.05,0.11,1.42,8,6,0.57
Milwaukee Admirals,45,G,Magnus Hellberg,M. Hellberg,15,0,1,0,1,0,0.00,0.07,0.00,0.07,0.00,0,0,-
Hamilton Bulldogs,32,D,Magnus Nygren,M. Nygren,15,4,6,3,6,38,0.27,0.40,0.20,0.40,2.53,15,12,0.56
Chicago Wolves,23,LW,Magnus Paajarvi,M. Paajarvi,3,0,0,0,0,7,0.00,0.00,0.00,0.00,2.33,1,0,1.00
Providence Bruins,47,G,Malcolm Subban,M. Subban,17,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Norfolk Admirals,29,D,Marc Cantin,M. Cantin,16,0,2,0,2,27,0.00,0.13,0.00,0.13,1.69,6,11,0.35
Iowa Wild,29,RW,Marc Hagel,M. Hagel,25,6,9,5,8,51,0.24,0.36,0.20,0.32,2.04,18,16,0.53
Binghamton Senators,5,D,Marc Methot,M. Methot,1,0,0,0,0,1,0.00,0.00,0.00,0.00,1.00,0,2,0.00
Hartford Wolf Pack,15,LW,Marek Hrivik,M. Hrivik,34,2,9,1,7,32,0.06,0.26,0.03,0.21,0.94,13,13,0.50
Milwaukee Admirals,31,G,Marek Mazanec,M. Mazanec,21,0,2,0,2,0,0.00,0.10,0.00,0.10,0.00,0,0,-
Grand Rapids Griffins,13,LW,Marek Tvrdon,M. Tvrdon,8,1,6,1,5,10,0.13,0.75,0.13,0.63,1.25,6,0,1.00
Lehigh Valley Phantoms,2,D,Mark Alt,M. Alt,19,1,4,1,3,29,0.05,0.21,0.05,0.16,1.53,11,15,0.42
Adirondack Flames,14,D,Mark Cundari,M. Cundari,24,2,9,1,1,35,0.08,0.38,0.04,0.04,1.46,12,13,0.48
Albany Devils,6,D,Mark Fraser,M. Fraser,18,1,2,1,2,19,0.06,0.11,0.06,0.11,1.06,9,7,0.56
Portland Pirates,33,D,Mark Louis,M. Louis,24,0,1,0,1,20,0.00,0.04,0.00,0.04,0.83,7,8,0.47
San Antonio Rampage,26,RW,Mark Mancari,M. Mancari,35,6,20,5,12,89,0.17,0.57,0.14,0.34,2.54,20,16,0.56
Rockford IceHogs,28,C,Mark McNeill,M. McNeill,23,11,11,6,9,47,0.48,0.48,0.26,0.39,2.04,16,9,0.64
Bridgeport Sound Tigers,5,D,Mark Nemec,M. Nemec,2,0,1,0,1,1,0.00,0.50,0.00,0.50,0.50,1,0,1.00
Rochester Americans,3,D,Mark Pysyk,M. Pysyk,33,1,12,1,7,50,0.03,0.36,0.03,0.21,1.52,16,18,0.47
Milwaukee Admirals,29,C,Mark Van Guilder,M. Van Guilder,33,4,7,4,6,43,0.12,0.21,0.12,0.18,1.30,16,11,0.59
Grand Rapids Griffins,9,C,Mark Zengerle,M. Zengerle,29,3,7,2,5,18,0.10,0.24,0.07,0.17,0.62,14,9,0.61
Springfield Falcons,10,C,Marko Dano,M. Dano,24,7,5,6,2,55,0.29,0.21,0.25,0.08,2.29,9,7,0.56
Adirondack Flames,26,C,Markus Granlund,M. Granlund,8,3,2,1,1,18,0.38,0.25,0.13,0.13,2.25,4,2,0.67
Lake Erie Monsters,11,D,Markus Lauridsen,M. Lauridsen,26,4,5,3,5,25,0.15,0.19,0.12,0.19,0.96,20,19,0.51
Grand Rapids Griffins,27,RW,Martin Frk,M. Frk,7,1,0,1,0,7,0.14,0.00,0.14,0.00,1.00,3,6,0.33
Oklahoma City Barons,40,D,Martin Gernat,M. Gernat,28,0,3,0,3,29,0.00,0.11,0.00,0.11,1.04,17,15,0.53
Oklahoma City Barons,28,D,Martin Marincin,M. Marincin,17,0,3,0,3,28,0.00,0.18,0.00,0.18,1.65,9,13,0.41
Lehigh Valley Phantoms,33,G,Martin Ouellette,M. Ouellette,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Hartford Wolf Pack,2,D,Mat Bodie,M. Bodie,34,3,12,3,8,46,0.09,0.35,0.09,0.24,1.35,18,21,0.46
Norfolk Admirals,2,D,Mat Clark,M. Clark,24,1,5,1,4,18,0.04,0.21,0.04,0.17,0.75,13,16,0.45
Texas Stars,28,RW,Matej Stransky,M. Stransky,33,3,5,3,5,62,0.09,0.15,0.09,0.15,1.88,13,15,0.46
Rockford IceHogs,5,D,Mathieu Brisebois,M. Brisebois,1,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,2,0.00
Chicago Wolves,5,D,Mathieu Brodeur,M. Brodeur,35,4,7,4,6,48,0.11,0.20,0.11,0.17,1.37,20,12,0.63
Springfield Falcons,25,LW,Mathieu Gagnon,M. Gagnon,10,1,0,1,0,5,0.10,0.00,0.10,0.00,0.50,2,0,1.00
Adirondack Flames,16,C,Mathieu Tousignant,M. Tousignant,36,3,8,2,6,56,0.08,0.22,0.06,0.17,1.56,10,18,0.36
Wilkes-Barre/Scranton Penguins,16,C,Matia Marcantuoni,M. Marcantuoni,22,2,3,2,3,17,0.09,0.14,0.09,0.14,0.77,7,7,0.50
Norfolk Admirals,10,RW,Matt Bailey,M. Bailey,28,3,3,3,2,32,0.11,0.11,0.11,0.07,1.14,6,12,0.33
Rockford IceHogs,27,LW,Matt Carey,M. Carey,34,6,7,5,4,69,0.18,0.21,0.15,0.12,2.03,11,14,0.44
Chicago Wolves,33,G,Matt Climie,M. Climie,20,0,1,0,1,0,0.00,0.05,0.00,0.05,0.00,0,0,-
Iowa Wild,55,D,Matt Dumba,M. Dumba,14,3,8,3,5,27,0.21,0.57,0.21,0.36,1.93,13,11,0.54
Rochester Americans,37,LW,Matt Ellis,M. Ellis,36,7,6,4,5,62,0.19,0.17,0.11,0.14,1.72,12,19,0.39
Toronto Marlies,7,D,Matt Finn,M. Finn,14,0,1,0,0,17,0.00,0.07,0.00,0.00,1.21,5,6,0.45
Toronto Marlies,39,RW,Matt Frattin,M. Frattin,20,9,3,5,0,44,0.45,0.15,0.25,0.00,2.20,12,15,0.44
Lehigh Valley Phantoms,18,F,Matt Hatch,M. Hatch,2,0,0,0,0,6,0.00,0.00,0.00,0.00,3.00,0,0,-
Portland Pirates,15,LW,Matt Kassian,M. Kassian,2,0,0,0,0,1,0.00,0.00,0.00,0.00,0.50,0,1,0.00
Providence Bruins,9,LW,Matt Lindblad,M. Lindblad,32,7,8,4,5,52,0.22,0.25,0.13,0.16,1.63,15,8,0.65
Rochester Americans,47,D,Matt MacKenzie,M. MacKenzie,22,1,3,1,3,19,0.05,0.14,0.05,0.14,0.86,11,10,0.52
Texas Stars,26,D,Matt Mangene,M. Mangene,8,0,5,0,4,15,0.00,0.63,0.00,0.50,1.88,10,3,0.77
Wilkes-Barre/Scranton Penguins,30,G,Matt Murray,M. Murray,16,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Rochester Americans,16,D,Matt Pelech,M. Pelech,8,0,0,0,0,9,0.00,0.00,0.00,0.00,1.13,0,3,0.00
Binghamton Senators,9,LW,Matt Puempel,M. Puempel,34,8,15,4,7,102,0.24,0.44,0.12,0.21,3.00,15,23,0.39
Worcester Sharks,20,D,Matt Taormina,M. Taormina,33,4,13,2,5,58,0.12,0.39,0.06,0.15,1.76,15,20,0.43
Worcester Sharks,5,D,Matt Tennyson,M. Tennyson,19,3,3,1,2,38,0.16,0.16,0.05,0.11,2.00,8,9,0.47
Syracuse Crunch,13,D,Matthew Corrente,M. Corrente,30,1,0,1,0,24,0.03,0.00,0.03,0.00,0.80,12,11,0.52
Oklahoma City Barons,11,RW,Matthew Ford,M. Ford,32,11,12,7,6,79,0.34,0.38,0.22,0.19,2.47,16,18,0.47
Norfolk Admirals,32,RW,Matthew Pistilli,M. Pistilli,10,1,2,0,1,19,0.10,0.20,0.00,0.10,1.90,2,8,0.20
Chicago Wolves,2,D,Matthew Register,M. Register,6,0,4,0,1,2,0.00,0.67,0.00,0.17,0.33,4,5,0.44
Grand Rapids Griffins,5,D,Mattias Backman,M. Backman,18,0,4,0,2,22,0.00,0.22,0.00,0.11,1.22,7,10,0.41
Norfolk Admirals,14,LW,Max Friberg,M. Friberg,17,6,7,3,2,56,0.35,0.41,0.18,0.12,3.29,6,5,0.55
Binghamton Senators,17,LW,Max McCormick,M. McCormick,26,5,4,4,3,51,0.19,0.15,0.15,0.12,1.96,13,12,0.52
Adirondack Flames,25,C,Max Reinhart,M. Reinhart,31,5,5,4,1,91,0.16,0.16,0.13,0.03,2.94,12,10,0.55
Manchester Monarchs,48,LW,Maxim Kitsyn,M. Kitsyn,1,1,0,1,0,3,1.00,0.00,1.00,0.00,3.00,1,0,1.00
Lehigh Valley Phantoms,20,D,Maxim Lamarche,M. Lamarche,3,0,1,0,1,1,0.00,0.33,0.00,0.33,0.33,2,3,0.40
Lake Erie Monsters,26,D,Maxim Noreau,M. Noreau,33,7,15,4,9,74,0.21,0.45,0.12,0.27,2.24,23,23,0.50
Albany Devils,41,G,Maxime Clermont,M. Clermont,1,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Texas Stars,18,D,Maxime Fortunus,M. Fortunus,34,4,11,1,6,70,0.12,0.32,0.03,0.18,2.06,23,23,0.50
Texas Stars,33,G,Maxime Lagace,M. Lagace,1,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Hamilton Bulldogs,12,C,Maxime Macenauer,M. Macenauer,27,4,2,4,2,33,0.15,0.07,0.15,0.07,1.22,8,7,0.53
Worcester Sharks,15,C,Melker Karlsson,M. Karlsson,20,5,5,2,5,49,0.25,0.25,0.10,0.25,2.45,10,11,0.48
Hamilton Bulldogs,28,C,Michael Bournival,M. Bournival,7,3,5,2,5,20,0.43,0.71,0.29,0.71,2.86,8,3,0.73
Springfield Falcons,16,C,Michael Chaput,M. Chaput,5,1,4,1,2,9,0.20,0.80,0.20,0.40,1.80,3,1,0.75
Adirondack Flames,19,LW,Michael Ferland,M. Ferland,20,4,8,4,6,56,0.20,0.40,0.20,0.30,2.80,14,7,0.67
San Antonio Rampage,29,G,Michael Houser,M. Houser,13,0,1,0,0,0,0.00,0.08,0.00,0.00,0.00,0,0,-
Hartford Wolf Pack,11,RW,Michael Kantor,M. Kantor,1,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Iowa Wild,36,F,Michael Keranen,M. Keranen,34,5,20,3,12,79,0.15,0.59,0.09,0.35,2.32,15,15,0.50
Hartford Wolf Pack,28,D,Michael Kostka,M. Kostka,22,3,9,2,6,37,0.14,0.41,0.09,0.27,1.68,15,9,0.63
Rockford IceHogs,49,G,Michael Leighton,M. Leighton,19,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Milwaukee Admirals,17,LW,Michael Liambas,M. Liambas,21,4,1,3,1,17,0.19,0.05,0.14,0.05,0.81,6,4,0.60
Manchester Monarchs,27,LW,Michael Mersch,M. Mersch,36,5,7,4,5,90,0.14,0.19,0.11,0.14,2.50,13,13,0.50
Lake Erie Monsters,24,LW,Michael Schumacher,M. Schumacher,33,4,11,3,7,57,0.12,0.33,0.09,0.21,1.73,12,25,0.32
Binghamton Senators,4,D,Michael Sdao,M. Sdao,20,1,1,1,1,13,0.05,0.05,0.05,0.05,0.65,11,10,0.52
Hershey Bears,37,D,Michal Cajkovsky,M. Cajkovsky,7,0,1,0,0,11,0.00,0.14,0.00,0.00,1.57,2,1,0.67
Charlotte Checkers,29,D,Michal Jordan,M. Jordan,15,2,5,1,2,24,0.13,0.33,0.07,0.13,1.60,6,11,0.35
Worcester Sharks,18,LW,Micheal Haley,M. Haley,27,10,3,7,2,33,0.37,0.11,0.26,0.07,1.22,10,20,0.33
Milwaukee Admirals,20,LW,Miikka Salomaki,M. Salomaki,29,5,11,3,8,72,0.17,0.38,0.10,0.28,2.48,17,5,0.77
Charlotte Checkers,16,C,Mike Aviani,M. Aviani,2,0,0,0,0,1,0.00,0.00,0.00,0.00,0.50,1,1,0.50
Hamilton Bulldogs,1,G,Mike Condon,M. Condon,18,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
St. John's IceCaps,45,D,Mike Cornell,M. Cornell,14,2,3,0,2,25,0.14,0.21,0.00,0.14,1.79,6,3,0.67
Texas Stars,13,D,Mike Dalhuisen,M. Dalhuisen,8,1,0,1,0,7,0.13,0.00,0.13,0.00,0.88,1,1,0.50
Albany Devils,37,D,Mike Keenan,M. Keenan,8,0,1,0,1,8,0.00,0.13,0.00,0.13,1.00,4,4,0.50
Syracuse Crunch,10,C,Mike Angelidis,M. Angelidis,35,12,6,10,6,62,0.34,0.17,0.29,0.17,1.77,18,15,0.55
Syracuse Crunch,21,RW,Mike Blunden,M. Blunden,24,9,5,6,4,75,0.38,0.21,0.25,0.17,3.13,10,13,0.43
Bridgeport Sound Tigers,26,RW,Mike Halmo,M. Halmo,22,7,5,2,3,55,0.32,0.23,0.09,0.14,2.50,5,9,0.36
Springfield Falcons,11,LW,Mike Hoeffel,M. Hoeffel,28,3,4,2,2,39,0.11,0.14,0.07,0.07,1.39,9,7,0.56
Charlotte Checkers,3,D,Mike Little,M. Little,4,0,0,0,0,2,0.00,0.00,0.00,0.00,0.50,2,2,0.50
Portland Pirates,56,G,Mike McKenna,M. McKenna,29,0,3,0,1,0,0.00,0.10,0.00,0.03,0.00,0,0,-
Hershey Bears,6,D,Mike Moore,M. Moore,10,0,3,0,0,18,0.00,0.30,0.00,0.00,1.80,2,4,0.33
Lake Erie Monsters,43,C,Mike Sgarbossa,M. Sgarbossa,30,3,18,3,12,65,0.10,0.60,0.10,0.40,2.17,17,24,0.41
Albany Devils,19,RW,Mike Sislo,M. Sislo,23,8,4,1,3,58,0.35,0.17,0.04,0.13,2.52,8,4,0.67
Utica Comets,14,LW,Mike Zalewski,M. Zalewski,16,1,1,1,1,16,0.06,0.06,0.06,0.06,1.00,3,4,0.43
Rochester Americans,25,C,Mikhail Grigorenko,M. Grigorenko,30,7,15,7,8,71,0.23,0.50,0.23,0.27,2.37,16,15,0.52
Grand Rapids Griffins,15,LW,Mitch Callahan,M. Callahan,33,10,14,6,7,90,0.30,0.42,0.18,0.21,2.73,23,18,0.56
Oklahoma City Barons,27,LW,Mitch Moroz,M. Moroz,28,0,2,0,2,32,0.00,0.07,0.00,0.07,1.14,7,11,0.39
Lake Erie Monsters,51,C,Mitchell Heard,M. Heard,18,4,2,4,2,30,0.22,0.11,0.22,0.11,1.67,11,7,0.61
Hamilton Bulldogs,3,D,Morgan Ellis,M. Ellis,2,0,0,4,5,3,0.00,0.00,2.00,2.50,1.50,12,19,0.39
Albany Devils,34,RW,Myles Bell,M. Bell,2,0,0,0,0,2,0.00,0.00,0.00,0.00,1.00,0,0,-
Hamilton Bulldogs,8,D,Nathan Beaulieu,N. Beaulieu,8,2,2,2,0,20,0.25,0.25,0.25,0.00,2.50,4,3,0.57
Rochester Americans,31,G,Nathan Lieuwen,N. Lieuwen,16,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Chicago Wolves,26,LW,Nathan Longpre,N. Longpre,1,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Norfolk Admirals,6,D,Nathan McIver,N. McIver,27,1,1,1,1,14,0.04,0.04,0.04,0.04,0.52,8,9,0.47
Adirondack Flames,12,C,Nathan Moon,N. Moon,6,0,1,0,1,5,0.00,0.17,0.00,0.17,0.83,0,1,0.00
Springfield Falcons,20,D,Nathan Oystrick,N. Oystrick,9,1,2,1,1,6,0.11,0.22,0.11,0.11,0.67,2,2,0.50
Grand Rapids Griffins,4,D,Nathan Paetsch,N. Paetsch,32,4,9,3,1,67,0.13,0.28,0.09,0.03,2.09,22,21,0.51
Hershey Bears,12,LW,Nathan Walker,N. Walker,26,1,3,1,3,29,0.04,0.12,0.04,0.12,1.12,10,6,0.63
Manchester Monarchs,26,C,Nic Dowd,N. Dowd,36,4,17,3,10,52,0.11,0.47,0.08,0.28,1.44,17,11,0.61
Norfolk Admirals,8,LW,Nic Kerdiles,N. Kerdiles,35,6,13,4,7,86,0.17,0.37,0.11,0.20,2.46,15,14,0.52
Iowa Wild,8,D,Nicholas Rioux,N. Rioux,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,1,0.50
Manchester Monarchs,23,D,Nick Ebert,N. Ebert,23,3,3,3,3,28,0.13,0.13,0.13,0.13,1.22,16,11,0.59
Lehigh Valley Phantoms,25,C,Nick Cousins,N. Cousins,33,8,10,4,8,59,0.24,0.30,0.12,0.24,1.79,15,13,0.54
Wilkes-Barre/Scranton Penguins,21,D,Nick D'Agostino,N. D'Agostino,16,0,4,0,4,10,0.00,0.25,0.00,0.25,0.63,6,4,0.60
Wilkes-Barre/Scranton Penguins,10,C,Nick Drazenovic,N. Drazenovic,13,7,3,5,3,28,0.54,0.23,0.38,0.23,2.15,8,2,0.80
Grand Rapids Griffins,14,D,Nick Jensen,N. Jensen,32,3,7,9,9,42,0.09,0.22,0.28,0.28,1.31,35,34,0.51
Worcester Sharks,25,D,Nick Jones,N. Jones,11,0,2,0,2,11,0.00,0.18,0.00,0.18,1.00,4,3,0.57
Rochester Americans,2,D,Nick Petrecki,N. Petrecki,19,0,2,0,1,14,0.00,0.11,0.00,0.05,0.74,8,11,0.42
Manchester Monarchs,37,C,Nick Shore,N. Shore,36,19,20,9,16,97,0.53,0.56,0.25,0.44,2.69,29,10,0.74
Hamilton Bulldogs,21,RW,Nick Sorkin,N. Sorkin,30,2,9,1,6,41,0.07,0.30,0.03,0.20,1.37,8,11,0.42
Hartford Wolf Pack,74,LW,Nick Tarnasky,N. Tarnasky,12,0,2,0,2,7,0.00,0.17,0.00,0.17,0.58,3,4,0.43
Utica Comets,37,D,Nick Tuzzolino,N. Tuzzolino,1,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Utica Comets,17,RW,Nicklas Jensen,N. Jensen,24,9,7,9,9,70,0.38,0.29,0.38,0.38,2.92,35,34,0.51
St. John's IceCaps,26,LW,Nicolas Blanchard,N. Blanchard,26,1,5,1,5,34,0.04,0.19,0.04,0.19,1.31,10,10,0.50
Syracuse Crunch,89,D,Nikita Nesterov,N. Nesterov,32,3,11,1,4,64,0.09,0.34,0.03,0.13,2.00,24,15,0.62
Adirondack Flames,38,D,Nolan Yonkman,N. Yonkman,36,1,5,1,5,31,0.03,0.14,0.03,0.14,0.86,23,24,0.49
Lehigh Valley Phantoms,7,D,Oliver Lauridsen,O. Lauridsen,33,0,2,0,0,28,0.00,0.06,0.00,0.00,0.85,12,16,0.43
Springfield Falcons,31,G,Oscar Dansk,O. Dansk,11,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Oklahoma City Barons,8,D,Oscar Klefbom,O. Klefbom,9,1,7,0,7,13,0.11,0.78,0.00,0.78,1.44,15,7,0.68
Hartford Wolf Pack,24,C,Oscar Lindberg,O. Lindberg,34,9,12,5,9,95,0.26,0.35,0.15,0.26,2.79,18,14,0.56
Chicago Wolves,12,C,Pat Cannone,P. Cannone,35,6,16,4,10,53,0.17,0.46,0.11,0.29,1.51,22,16,0.58
Rochester Americans,40,G,Pat Nagle,P. Nagle,1,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
St. John's IceCaps,28,C,Patrice Cormier,P. Cormier,21,5,5,1,1,33,0.24,0.24,0.05,0.05,1.57,5,12,0.29
Charlotte Checkers,24,C,Patrick Brown,P. Brown,19,1,3,1,2,23,0.05,0.16,0.05,0.11,1.21,4,10,0.29
Milwaukee Admirals,10,RW,Patrick Cehlin,P. Cehlin,4,0,0,0,0,7,0.00,0.00,0.00,0.00,1.75,2,1,0.67
St. John's IceCaps,41,RW,Patrick Holland,P. Holland,7,0,0,0,0,1,0.00,0.00,0.00,0.00,0.14,0,2,0.00
Utica Comets,18,RW,Patrick Kennedy,P. Kennedy,4,0,0,0,0,7,0.00,0.00,0.00,0.00,1.75,1,0,1.00
Wilkes-Barre/Scranton Penguins,13,RW,Patrick McGrath,P. McGrath,2,0,0,0,0,3,0.00,0.00,0.00,0.00,1.50,0,2,0.00
Portland Pirates,20,D,Patrick McNeill,P. McNeill,1,0,1,0,0,5,0.00,1.00,0.00,0.00,5.00,0,1,0.00
Binghamton Senators,14,D,Patrick Mullen,P. Mullen,34,4,12,1,7,46,0.12,0.35,0.03,0.21,1.35,22,24,0.48
Adirondack Flames,32,D,Patrick Sieloff,P. Sieloff,22,1,1,1,1,21,0.05,0.05,0.05,0.05,0.95,5,8,0.38
Toronto Marlies,21,LW,Patrick Watling,P. Watling,23,2,1,2,1,15,0.09,0.04,0.09,0.04,0.65,4,1,0.80
Hershey Bears,28,D,Patrick Wey,P. Wey,3,0,0,0,0,1,0.00,0.00,0.00,0.00,0.33,0,0,-
Manchester Monarchs,30,G,Patrik Bartosak,P. Bartosak,11,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Manchester Monarchs,15,LW,Paul Bissonnette,P. Bissonnette,21,0,0,0,0,13,0.00,0.00,0.00,0.00,0.62,2,4,0.33
Lake Erie Monsters,28,LW,Paul Carey,P. Carey,29,9,11,6,7,45,0.31,0.38,0.21,0.24,1.55,17,21,0.45
