Team,Player #,Pos,Player,Player abbrev,GP,G,A,EV G,EV A,SOG,G/GP,A/GP,EV G/GP,EV A/GP,SOG/GP,EV +,EV -,EV GF %
Lehigh Valley Phantoms,37,LW,Jay Rosehill,J. Rosehill,28,1,2,1,2,23,0.04,0.07,0.04,0.07,0.82,3,8,0.27
Wilkes-Barre/Scranton Penguins,19,C,Jayson Megna,J. Megna,24,9,5,9,5,49,0.38,0.21,0.38,0.21,2.04,16,2,0.89
St. John's IceCaps,34,RW,JC Lipon,J. Lipon,36,1,10,1,7,67,0.03,0.28,0.03,0.19,1.86,9,23,0.28
Manchester Monarchs,35,G,Jean-Francois Berube,J. Berube,26,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Binghamton Senators,44,C,Jean-Gabriel Pageau,J. Pageau,25,8,10,5,4,94,0.32,0.40,0.20,0.16,3.76,17,9,0.65
Syracuse Crunch,24,D,Jean-Philippe Cote,J. Cote,35,1,5,1,5,22,0.03,0.14,0.03,0.14,0.63,26,12,0.68
Wilkes-Barre/Scranton Penguins,9,C,Jean-Sebastien Dea,J. Dea,33,9,10,3,4,68,0.27,0.30,0.09,0.12,2.06,15,11,0.58
Syracuse Crunch,16,LW,Jeff Costello,J. Costello,2,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Grand Rapids Griffins,10,LW,Jeff Hoggan,J. Hoggan,33,2,6,2,5,40,0.06,0.18,0.06,0.15,1.21,14,12,0.54
Hartford Wolf Pack,33,G,Jeff Malcolm,J. Malcolm,1,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Manchester Monarchs,55,D,Jeff Schultz,J. Schultz,26,3,6,2,3,38,0.12,0.23,0.08,0.12,1.46,22,15,0.59
Wilkes-Barre/Scranton Penguins,37,G,Jeff Zatkoff,J. Zatkoff,20,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Utica Comets,5,D,Jeremie Blain,J. Blain,7,0,0,0,0,6,0.00,0.00,0.00,0.00,0.86,2,4,0.33
Worcester Sharks,28,RW,Jeremy Langlois,J. Langlois,31,9,7,5,6,82,0.29,0.23,0.16,0.19,2.65,14,16,0.47
Rockford IceHogs,19,LW,Jeremy Morin,J. Morin,3,1,0,0,0,12,0.33,0.00,0.00,0.00,4.00,2,3,0.40
Providence Bruins,30,G,Jeremy Smith,J. Smith,18,0,1,0,0,0,0.00,0.06,0.00,0.00,0.00,0,0,-
